combination,epoch,training_time,testing_time,system_time,explained_variance_score,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
"[3, 32, [16, 8], 'tanh']",1000,509,1,509,0.184830232,0.341609253,0.277544014,0.240412116,-0.022473719
"[3, 32, [16, 8], 'sigmoid']",1000,507,0,507,0.149893236,0.299626134,0.230819191,0.206615806,0.149660794
"[3, 32, [32, 4], 'tanh']",1000,518,0,518,0.203935806,0.338003095,0.277397813,0.232869774,-0.021935115
"[3, 32, [32, 4], 'sigmoid']",1000,528,0,528,0.181677129,0.307387305,0.226039352,0.21902132,0.167269746
"[3, 32, [32, 8], 'tanh']",1000,524,0,524,0.173920545,0.305028455,0.247890597,0.197924435,0.086769636
"[3, 32, [32, 8], 'sigmoid']",1000,528,0,528,0.188275769,0.30343313,0.222493743,0.219711304,0.180331792
"[3, 32, [32, 16], 'tanh']",1000,532,0,532,0.178806486,0.317694035,0.255719663,0.213862598,0.057927315
"[3, 32, [32, 16], 'sigmoid']",1000,538,0,538,0.188927185,0.313761147,0.226448394,0.229382396,0.165762833
"[4, 16, [4], 'tanh']",1000,787,1,787,0.159305674,0.605635441,0.567704164,0.521446392,-1.091425356
"[4, 16, [4], 'sigmoid']",1000,800,0,800,0.129889177,0.483670191,0.417767087,0.398783386,-0.539056314
"[4, 16, [8], 'tanh']",1000,892,0,892,0.157157238,0.593075627,0.540572,0.519147635,-0.991470309
"[4, 16, [8], 'sigmoid']",1000,884,0,884,0.141529815,0.399674802,0.328436753,0.300342888,-0.209962857
"[4, 16, [16], 'tanh']",1000,907,0,907,0.105325085,0.64987853,0.61934514,0.578870609,-1.281671004
"[4, 16, [16], 'sigmoid']",1000,955,0,955,0.131285586,0.411527536,0.345340069,0.310103297,-0.27223477
"[4, 16, [32], 'tanh']",1000,956,0,956,0.130429626,0.487587921,0.425512053,0.40170306,-0.567588812
"[4, 16, [32], 'sigmoid']",1000,1013,0,1013,0.154104473,0.395766792,0.327037068,0.293133676,-0.20480641
"[4, 16, [4, 2], 'tanh']",1000,1328,0,1328,0.144948075,0.347623619,0.282898202,0.2350806,-0.042198578
"[4, 16, [4, 2], 'sigmoid']",1000,1327,0,1327,0.153945237,0.941639014,1.088787851,0.865417562,-3.011100612
"[4, 16, [8, 4], 'tanh']",1000,1358,0,1358,0.18873087,0.66685808,0.628362647,0.605511129,-1.314891552
"[4, 16, [8, 4], 'sigmoid']",1000,1330,0,1330,0.180898286,0.474779582,0.406642434,0.394359499,-0.49807303
"[4, 16, [16, 4], 'tanh']",1000,1353,0,1353,0.160537406,0.44031103,0.367841527,0.347703397,-0.35513027
"[4, 16, [16, 4], 'sigmoid']",1000,1359,0,1359,0.20456901,0.678525491,0.651431227,0.60871467,-1.39987633
"[4, 16, [16, 8], 'tanh']",1000,1353,0,1353,0.224424026,0.36410873,0.297735059,0.258864999,-0.096857644
"[4, 16, [16, 8], 'sigmoid']",1000,1362,0,1362,0.202537654,0.311022937,0.249397913,0.206601739,0.081216677
"[4, 16, [32, 4], 'tanh']",1000,1380,0,1380,0.056613594,0.490621504,0.43867158,0.399030536,-0.616068584
"[4, 16, [32, 4], 'sigmoid']",1000,1377,0,1377,0.120732768,0.857390796,0.933025936,0.795117639,-2.437272834
"[4, 16, [32, 8], 'tanh']",1000,1379,1,1379,0.19453204,0.457961341,0.383551311,0.37662679,-0.413005202
"[4, 16, [32, 8], 'sigmoid']",1000,1371,0,1371,0.181647149,0.503713602,0.438926138,0.422640473,-0.617006379
"[4, 16, [32, 16], 'tanh']",1000,1415,0,1415,0.06202815,0.377222919,0.342196814,0.259117275,-0.260655002
"[4, 16, [32, 16], 'sigmoid']",1000,1411,0,1411,0.105249988,0.672154094,0.643676293,0.602440923,-1.37130711
"[4, 32, [4], 'tanh']",1000,453,0,453,0.098659869,0.309623669,0.245190028,0.215393066,0.096718549
"[4, 32, [4], 'sigmoid']",1000,452,0,452,0.15368168,0.670220716,0.579495579,0.665229619,-1.134864995
"[4, 32, [8], 'tanh']",1000,462,0,462,0.156203194,0.296911817,0.229137534,0.20791024,0.155856027
"[4, 32, [8], 'sigmoid']",1000,486,0,486,0.150075555,0.354517912,0.256512165,0.275232255,0.055007731
"[4, 32, [16], 'tanh']",1000,480,0,480,0.14323064,0.299793898,0.244664848,0.200898886,0.098653315
"[4, 32, [16], 'sigmoid']",1000,482,0,482,0.187326504,0.465501477,0.398471012,0.374808192,-0.467969464
"[4, 32, [32], 'tanh']",1000,528,0,528,0.043834284,0.341434903,0.282262506,0.235491306,-0.039856671
"[4, 32, [32], 'sigmoid']",1000,555,0,555,0.209599455,0.295765305,0.229960959,0.196055353,0.152822523
"[4, 32, [4, 2], 'tanh']",1000,678,0,678,0.153825388,0.307351162,0.230912782,0.216461122,0.149316003
"[4, 32, [4, 2], 'sigmoid']",1000,680,0,680,0.147199987,0.943399981,1.029171381,0.956428289,-2.791473198
"[4, 32, [8, 4], 'tanh']",1000,698,0,698,0.197194256,0.301045589,0.235334796,0.202950358,0.133025278
